City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
nikolskoye,59.7,30.79,33.8,80,90,8.95,RU,1605497645
upernavik,72.79,-56.15,18.86,89,100,16.24,GL,1605497646
nago,26.59,127.98,82.4,61,75,16.11,JP,1605497646
palu,-0.89,119.87,87.82,63,63,2.89,ID,1605497646
castro,-24.79,-50.01,62.08,96,94,2.98,BR,1605497646
narrabri,-30.32,149.78,102.2,20,0,17.22,AU,1605497646
airai,-8.93,125.41,82.67,37,18,7.45,TL,1605497646
harpanahalli,14.8,75.98,78.46,71,90,15.57,IN,1605497646
butaritari,3.07,172.79,81.79,72,84,11.68,KI,1605497646
kazachinskoye,57.7,93.28,16.92,93,0,2.77,RU,1605497647
la romana,18.43,-68.97,71.6,100,40,10.85,DO,1605497647
bengkulu,-3.8,102.27,88.02,60,68,6.51,ID,1605497647
bredasdorp,-34.53,20.04,50.0,87,47,2.24,ZA,1605497647
vardo,70.37,31.11,44.15,89,89,25.39,NO,1605497647
kindu,-2.95,25.95,67.69,97,100,1.5,CD,1605497647
dikson,73.51,80.55,25.52,99,100,18.32,RU,1605497647
busselton,-33.65,115.33,66.99,63,58,1.99,AU,1605497592
rikitea,-23.12,-134.97,76.08,79,24,7.52,PF,1605497648
talnakh,69.49,88.4,8.6,84,75,8.95,RU,1605497372
qaanaaq,77.48,-69.36,2.43,82,100,12.37,GL,1605497648
mataura,-46.19,168.86,59.0,77,48,18.99,NZ,1605497648
geraldton,-28.77,114.6,78.8,26,0,6.93,AU,1605497648
georgetown,5.41,100.34,87.8,74,20,3.36,MY,1605497648
port elizabeth,-33.92,25.57,62.6,88,90,8.05,ZA,1605497648
hermanus,-34.42,19.23,52.0,87,68,10.2,ZA,1605497648
mahibadhoo,3.78,72.97,82.06,76,100,7.9,MV,1605497649
sidi ali,36.1,0.42,61.29,75,38,5.61,DZ,1605497649
bluff,-46.6,168.33,59.0,77,11,18.99,NZ,1605497649
hilo,19.73,-155.09,77.0,78,40,3.36,US,1605497649
farah,32.5,62.5,46.8,45,0,1.01,AF,1605497649
cape town,-33.93,18.42,59.0,67,0,13.87,ZA,1605497600
kangaatsiaq,68.31,-53.46,19.2,91,96,14.43,GL,1605497649
kapaa,22.08,-159.32,73.4,94,90,8.05,US,1605497649
palotina,-24.28,-53.84,69.76,87,96,2.04,BR,1605497649
punta arenas,-53.15,-70.92,46.4,65,0,29.97,CL,1605497572
jamestown,42.1,-79.24,39.99,60,90,26.4,US,1605497634
bambous virieux,-20.34,57.76,75.0,56,40,10.29,MU,1605497361
poum,-20.23,164.02,77.88,82,48,11.3,NC,1605497650
ubatuba,-23.43,-45.07,74.07,83,15,2.15,BR,1605497593
beloha,-25.17,45.05,70.39,59,0,11.97,MG,1605497417
senador jose porfirio,-2.59,-51.95,76.35,88,63,4.61,BR,1605497650
kamina,-8.74,24.99,64.17,99,100,3.69,CD,1605497650
arraial do cabo,-22.97,-42.03,73.45,94,29,11.52,BR,1605497651
yellowknife,62.46,-114.35,1.4,84,40,4.7,CA,1605497651
panjab,34.39,67.02,14.38,75,0,2.55,AF,1605497651
sao filipe,14.9,-24.5,79.38,61,72,6.51,CV,1605497651
leningradskiy,69.38,178.42,24.12,91,89,7.52,RU,1605497651
abay,49.63,72.85,-4.0,76,40,2.24,KZ,1605497651
bilibino,68.05,166.44,9.64,93,100,1.5,RU,1605497651
manzanillo,20.34,-77.12,74.01,89,99,7.67,CU,1605497651
kloulklubed,7.04,134.26,80.6,88,75,9.17,PW,1605497652
sobolevo,54.43,31.9,31.93,98,100,9.89,RU,1605497652
cidreira,-30.18,-50.21,70.83,94,100,3.11,BR,1605497652
khatanga,71.97,102.5,-2.74,92,96,12.06,RU,1605497652
saint george,37.1,-113.58,51.01,27,1,1.39,US,1605497591
lagoa,39.05,-27.98,64.69,85,7,12.48,PT,1605497652
andijon,40.78,72.34,32.0,59,0,4.47,UZ,1605497652
sinop,41.77,34.87,45.84,88,97,3.27,TR,1605497373
bangangte,5.14,10.52,61.81,85,61,2.04,CM,1605497652
richards bay,-28.78,32.04,70.93,88,29,1.21,ZA,1605497653
isangel,-19.55,169.27,84.2,70,75,9.17,VU,1605497653
mao,39.89,4.27,66.2,88,0,5.82,ES,1605497653
albany,42.6,-73.97,52.0,64,100,1.01,US,1605497494
cumpas,29.98,-109.78,62.82,29,0,4.09,MX,1605497653
havoysund,71.0,24.66,39.2,80,0,11.41,NO,1605497653
avarua,-21.21,-159.78,78.8,83,13,16.11,CK,1605497564
hobart,-42.88,147.33,66.2,63,75,6.93,AU,1605497390
manokwari,-0.87,134.08,80.49,83,93,9.64,ID,1605497486
mainit,9.54,125.52,85.57,69,64,3.09,PH,1605497654
tuktoyaktuk,69.45,-133.04,8.6,84,90,19.46,CA,1605497654
